Parameter Sweep for BGR1314
13:40 on April 3, 2024
m_pts,ell_size,n_clusters,DBCV,m_cls
1000,2.5 dbar,51,0.2350220139978412,1000
100,2.5 dbar,146,0.10495747858450595,100
1050,2.5 dbar,51,0.2529080611225746,1050
1100,2.5 dbar,50,0.17331814119879585,1100
1150,2.5 dbar,50,0.2423738069551848,1150
1200,2.5 dbar,51,0.2485923654367356,1200
1250,2.5 dbar,50,0.2480914513020391,1250
1300,2.5 dbar,48,0.20712899285340425,1300
1350,2.5 dbar,47,0.29102852684606983,1350
1400,2.5 dbar,48,0.24052573084599682,1400
1450,2.5 dbar,46,0.2165183768492385,1450
1500,2.5 dbar,44,0.21021620137085226,1500
150,2.5 dbar,120,0.14954669969410064,150
1550,2.5 dbar,42,0.20356074231200486,1550
1600,2.5 dbar,41,0.22281889797871662,1600
1650,2.5 dbar,38,0.18753607460341215,1650
1700,2.5 dbar,37,0.1724587198263393,1700
1750,2.5 dbar,35,0.1756740471229887,1750
1800,2.5 dbar,34,0.13050654118709767,1800
1850,2.5 dbar,33,0.08689094711312641,1850
1900,2.5 dbar,32,0.09390502756940658,1900
1950,2.5 dbar,31,0.08801977229011446,1950
2000,2.5 dbar,30,0.06891562352567834,2000
200,2.5 dbar,100,0.12609616139666993,200
2050,2.5 dbar,30,0.06855527091370615,2050
2100,2.5 dbar,28,0.06037877762573568,2100
2150,2.5 dbar,28,0.06027349132293772,2150
2200,2.5 dbar,27,0.0643484185143403,2200
2250,2.5 dbar,28,0.06848972343927064,2250
2300,2.5 dbar,27,0.06386529870061274,2300
2350,2.5 dbar,26,0.08677472421884988,2350
2400,2.5 dbar,26,0.08650118657042914,2400
2450,2.5 dbar,25,0.0817837134083296,2450
2500,2.5 dbar,24,0.13452263964242683,2500
250,2.5 dbar,90,0.14862930720624878,250
300,2.5 dbar,84,0.1231018061258528,300
350,2.5 dbar,79,0.1315545779873401,350
400,2.5 dbar,77,0.1549280695693801,400
450,2.5 dbar,72,0.13841825051107276,450
500,2.5 dbar,69,0.15254397121575786,500
50,2.5 dbar,293,0.06545468698362293,50
550,2.5 dbar,67,0.13738846433469237,550
600,2.5 dbar,66,0.14127528081013926,600
650,2.5 dbar,62,0.14953857961045397,650
700,2.5 dbar,58,0.15089771991849568,700
750,2.5 dbar,57,0.19613378676725496,750
800,2.5 dbar,54,0.19507294375049491,800
850,2.5 dbar,54,0.20481748515754397,850
900,2.5 dbar,54,0.2053503758405971,900
950,2.5 dbar,52,0.197897414267751,950
