Parameter Sweep for BGR1819
13:40 on April 4, 2024
m_pts,ell_size,n_clusters,DBCV,m_cls
1000,2.5 dbar,63,0.1243715310533301,1000
100,2.5 dbar,192,0.07964995261126599,100
1050,2.5 dbar,60,0.09450900096122355,1050
1100,2.5 dbar,60,0.11191727522335504,1100
1150,2.5 dbar,60,0.12784098383139503,1150
1200,2.5 dbar,58,0.12179724338824943,1200
1250,2.5 dbar,58,0.13079872623036395,1250
1300,2.5 dbar,52,0.1279591310068876,1300
1350,2.5 dbar,50,0.13898358534245664,1350
1400,2.5 dbar,49,0.13634742556158838,1400
1450,2.5 dbar,47,0.1697184205725308,1450
1500,2.5 dbar,47,0.16776381558964354,1500
150,2.5 dbar,150,0.09421194934138649,150
1550,2.5 dbar,47,0.12624350523080777,1550
1600,2.5 dbar,46,0.12470052185727504,1600
1650,2.5 dbar,44,0.12938651085385464,1650
1700,2.5 dbar,45,0.15141778472370146,1700
1750,2.5 dbar,43,0.10316731950373757,1750
1800,2.5 dbar,40,0.14941935923502708,1800
1850,2.5 dbar,40,0.16203208362904678,1850
1900,2.5 dbar,39,0.17035497320071347,1900
1950,2.5 dbar,38,0.16427932656411715,1950
2000,2.5 dbar,38,0.17348482779791374,2000
200,2.5 dbar,129,0.06800237029974804,200
2050,2.5 dbar,37,0.15719228600859958,2050
2100,2.5 dbar,37,0.15725177034035495,2100
2150,2.5 dbar,36,0.15420207023646204,2150
2200,2.5 dbar,35,0.12858454968359737,2200
2250,2.5 dbar,35,0.13912279998850693,2250
2300,2.5 dbar,33,0.14100336098994803,2300
2350,2.5 dbar,33,0.1528513646431677,2350
2400,2.5 dbar,32,0.1614866946743716,2400
2450,2.5 dbar,32,0.16020862972165403,2450
2500,2.5 dbar,32,0.14703122859171602,2500
250,2.5 dbar,113,0.06203224402323729,250
300,2.5 dbar,105,0.06577408578287239,300
350,2.5 dbar,94,0.07769038852103075,350
400,2.5 dbar,87,0.07409947348680433,400
450,2.5 dbar,84,0.10419218636380599,450
500,2.5 dbar,79,0.07233625411432058,500
50,2.5 dbar,403,0.05417909983279575,50
550,2.5 dbar,78,0.07759544446000567,550
600,2.5 dbar,75,0.09294600001466251,600
650,2.5 dbar,72,0.10038035692110073,650
700,2.5 dbar,70,0.14328946408173934,700
750,2.5 dbar,68,0.09551711807518544,750
800,2.5 dbar,69,0.11893654368185011,800
850,2.5 dbar,66,0.07536119592028061,850
900,2.5 dbar,66,0.10312109823592586,900
950,2.5 dbar,64,0.11168484624038112,950
