Parameter Sweep for BGR1415
13:40 on April 3, 2024
m_pts,ell_size,n_clusters,DBCV,m_cls
1000,2.5 dbar,84,0.2025568625918517,1000
100,2.5 dbar,328,0.04029038009196891,100
1050,2.5 dbar,83,0.2537369212270983,1050
1100,2.5 dbar,83,0.2011873611748192,1100
1150,2.5 dbar,82,0.20180236948650307,1150
1200,2.5 dbar,83,0.17453850815266173,1200
1250,2.5 dbar,81,0.1836341088385174,1250
1300,2.5 dbar,80,0.2073401228795192,1300
1350,2.5 dbar,80,0.18680299725367866,1350
1400,2.5 dbar,78,0.19663459659760785,1400
1450,2.5 dbar,78,0.18202968752491785,1450
1500,2.5 dbar,76,0.19147992086946988,1500
150,2.5 dbar,205,0.042437958870705506,150
1550,2.5 dbar,74,0.20605203210948445,1550
1600,2.5 dbar,74,0.17956831225748185,1600
1650,2.5 dbar,72,0.20688293429628626,1650
1700,2.5 dbar,73,0.21805274121988527,1700
1750,2.5 dbar,73,0.20912441018618624,1750
1800,2.5 dbar,71,0.21492113764681073,1800
1850,2.5 dbar,71,0.2143912692158303,1850
1900,2.5 dbar,71,0.20641729318967106,1900
1950,2.5 dbar,71,0.2161176192822687,1950
2000,2.5 dbar,71,0.21172651846733637,2000
200,2.5 dbar,176,0.06801753076590811,200
2050,2.5 dbar,71,0.20998404358071437,2050
2100,2.5 dbar,71,0.20438229812191686,2100
2150,2.5 dbar,71,0.2085263724445863,2150
2200,2.5 dbar,71,0.21208856111339924,2200
2250,2.5 dbar,71,0.2099150686642361,2250
2300,2.5 dbar,70,0.21235929316075625,2300
2350,2.5 dbar,71,0.20475766065079265,2350
2400,2.5 dbar,70,0.17582969537080692,2400
2450,2.5 dbar,70,0.20060672283888234,2450
2500,2.5 dbar,69,0.17351597181024486,2500
250,2.5 dbar,156,0.13985413277142275,250
300,2.5 dbar,135,0.15514270081207795,300
350,2.5 dbar,130,0.12601480785749022,350
400,2.5 dbar,120,0.158165288625599,400
450,2.5 dbar,116,0.1358835984046349,450
500,2.5 dbar,106,0.15002038862838882,500
50,2.5 dbar,971,0.04433194197564924,50
550,2.5 dbar,102,0.12751075820824426,550
600,2.5 dbar,97,0.17556805033070183,600
650,2.5 dbar,94,0.18023294710724536,650
700,2.5 dbar,91,0.20803377566707804,700
750,2.5 dbar,88,0.2128820869570843,750
800,2.5 dbar,88,0.19410857493547032,800
850,2.5 dbar,89,0.18068421982673374,850
900,2.5 dbar,88,0.20437188609495582,900
950,2.5 dbar,85,0.20428812467939306,950
