Parameter Sweep for BGR1112
13:40 on April 3, 2024
m_pts,ell_size,n_clusters,DBCV,m_cls
1000,2.5 dbar,57,0.2521739908069253,1000
100,2.5 dbar,184,0.08238234335179925,100
1050,2.5 dbar,57,0.2227591884114617,1050
1100,2.5 dbar,56,0.21279607185981908,1100
1150,2.5 dbar,57,0.21133986465355986,1150
1200,2.5 dbar,56,0.21276397246597178,1200
1250,2.5 dbar,55,0.25023792874285117,1250
1300,2.5 dbar,54,0.26317314584016555,1300
1350,2.5 dbar,53,0.21194065299292414,1350
1400,2.5 dbar,52,0.1966212603245697,1400
1450,2.5 dbar,52,0.22938712115705634,1450
1500,2.5 dbar,52,0.20806541994393887,1500
150,2.5 dbar,125,0.12687810993841422,150
1550,2.5 dbar,50,0.16301030064197697,1550
1600,2.5 dbar,50,0.15993082816184903,1600
1650,2.5 dbar,49,0.2011709249150872,1650
1700,2.5 dbar,48,0.1809120753289451,1700
1750,2.5 dbar,45,0.15999169718715933,1750
1800,2.5 dbar,45,0.16354343500744203,1800
1850,2.5 dbar,44,0.1681088606855267,1850
1900,2.5 dbar,43,0.1682966942388391,1900
1950,2.5 dbar,41,0.16841618434488287,1950
2000,2.5 dbar,40,0.23096729928327328,2000
200,2.5 dbar,105,0.1455781925536849,200
2050,2.5 dbar,39,0.1968244418422374,2050
2100,2.5 dbar,38,0.22273901077204783,2100
2150,2.5 dbar,38,0.22272988632452695,2150
2200,2.5 dbar,36,0.21459807145937618,2200
2250,2.5 dbar,35,0.21124371374137235,2250
2300,2.5 dbar,34,0.20782334471344158,2300
2350,2.5 dbar,35,0.211641606894441,2350
2400,2.5 dbar,32,0.21819712875674013,2400
2450,2.5 dbar,32,0.21817970233471304,2450
2500,2.5 dbar,32,0.23820420128641695,2500
250,2.5 dbar,96,0.1479755206254027,250
300,2.5 dbar,90,0.13002811944083856,300
350,2.5 dbar,85,0.14746939544229434,350
400,2.5 dbar,78,0.1297133076792953,400
450,2.5 dbar,74,0.1512988745631213,450
500,2.5 dbar,70,0.1180666137992984,500
50,2.5 dbar,419,0.0584477171211886,50
550,2.5 dbar,69,0.17276196527373935,550
600,2.5 dbar,66,0.15933474945028994,600
650,2.5 dbar,65,0.1794112077247613,650
700,2.5 dbar,63,0.14678041518916793,700
750,2.5 dbar,62,0.18343003799409577,750
800,2.5 dbar,58,0.23228717436407187,800
850,2.5 dbar,58,0.25785694372367135,850
900,2.5 dbar,57,0.24135586311448468,900
950,2.5 dbar,57,0.23702279817248123,950
