Parameter Sweep for BGR04
13:40 on April 3, 2024
m_pts,ell_size,n_clusters,DBCV,m_cls
1000,2.5 dbar,13,0.07550089747587412,1000
100,2.5 dbar,73,0.21147061821966773,100
120,2.5 dbar,65,0.21272475148830924,120
140,2.5 dbar,59,0.18263982337660922,140
160,2.5 dbar,58,0.16628453126665854,160
180,2.5 dbar,54,0.2035848301225653,180
196,2.5 dbar,54,0.21568449000393267,196
200,2.5 dbar,53,0.24435442360555773,200
20,2.5 dbar,290,0.09475414035229959,20
220,2.5 dbar,49,0.1650334173932634,220
240,2.5 dbar,47,0.20465332859282323,240
260,2.5 dbar,45,0.2331775416714338,260
280,2.5 dbar,43,0.2243681050650145,280
300,2.5 dbar,40,0.19918675859948884,300
320,2.5 dbar,38,0.1903076363963413,320
340,2.5 dbar,37,0.19725500959323827,340
360,2.5 dbar,37,0.20398240313438443,360
380,2.5 dbar,34,0.21941040113219573,380
400,2.5 dbar,33,0.17241441920209966,400
40,2.5 dbar,129,0.11911918634546917,40
420,2.5 dbar,32,0.16361241639619156,420
440,2.5 dbar,29,0.19947826837801255,440
460,2.5 dbar,27,0.2240647807959466,460
480,2.5 dbar,25,0.18688717275966665,480
500,2.5 dbar,24,0.19544856453800155,500
520,2.5 dbar,23,0.18149550465659123,520
540,2.5 dbar,21,0.16284819575088047,540
560,2.5 dbar,20,0.18717676594609958,560
580,2.5 dbar,20,0.1833918045288209,580
600,2.5 dbar,20,0.14949401204315255,600
60,2.5 dbar,89,0.13362466960045527,60
620,2.5 dbar,20,0.14144671393192093,620
640,2.5 dbar,19,0.138622853933443,640
660,2.5 dbar,19,0.1391093140109483,660
680,2.5 dbar,18,0.15536291656729598,680
700,2.5 dbar,17,0.12997451417087708,700
720,2.5 dbar,16,0.12162029506445987,720
740,2.5 dbar,16,0.1192536783982654,740
760,2.5 dbar,16,0.11861539987559541,760
780,2.5 dbar,14,0.08226275463055843,780
800,2.5 dbar,13,0.07502873699766496,800
80,2.5 dbar,79,0.2269107876805772,80
820,2.5 dbar,13,0.0751287660419223,820
840,2.5 dbar,13,0.07507791964854453,840
860,2.5 dbar,13,0.07496019064756429,860
880,2.5 dbar,13,0.07576242313492046,880
900,2.5 dbar,13,0.07602639855741145,900
920,2.5 dbar,13,0.07589805628967904,920
940,2.5 dbar,13,0.07577247326486106,940
960,2.5 dbar,13,0.07580250848213803,960
980,2.5 dbar,13,0.05742583882069066,980
