Parameter Sweep for BGR0607
13:40 on March 27, 2024
m_pts,ell_size,n_clusters,DBCV,m_cls
1000,2.5 dbar,72,0.2360642060105202,1000
100,2.5 dbar,323,0.03955311534998726,100
1050,2.5 dbar,69,0.2526452881957719,1050
1100,2.5 dbar,69,0.25390080973989554,1100
1150,2.5 dbar,68,0.2524761796273335,1150
1200,2.5 dbar,68,0.25150862896602866,1200
1250,2.5 dbar,65,0.2100839842346022,1250
1300,2.5 dbar,64,0.22436683918375078,1300
1350,2.5 dbar,63,0.21991949204197447,1350
1400,2.5 dbar,62,0.21794412495458926,1400
1450,2.5 dbar,61,0.21567080122709711,1450
1500,2.5 dbar,62,0.18158733635791285,1500
150,2.5 dbar,206,0.07272248686007594,150
1550,2.5 dbar,61,0.22223891050764222,1550
1600,2.5 dbar,60,0.2215771146108707,1600
1650,2.5 dbar,60,0.22043409059924327,1650
1700,2.5 dbar,60,0.22191569015502827,1700
1750,2.5 dbar,57,0.1884599212420448,1750
1800,2.5 dbar,56,0.20356782537331253,1800
1850,2.5 dbar,54,0.24991570192295853,1850
1900,2.5 dbar,52,0.2342610522500129,1900
1950,2.5 dbar,51,0.20259959302700067,1950
2000,2.5 dbar,50,0.18632872210883908,2000
200,2.5 dbar,155,0.09724639250767803,200
2050,2.5 dbar,50,0.19214868926492196,2050
2100,2.5 dbar,50,0.19008817515223272,2100
2150,2.5 dbar,50,0.18792360030151087,2150
2200,2.5 dbar,51,0.21096943375675284,2200
2250,2.5 dbar,51,0.19416103923079436,2250
2300,2.5 dbar,47,0.24032877791155552,2300
2350,2.5 dbar,46,0.23920428037909824,2350
2400,2.5 dbar,46,0.22488619398079104,2400
2450,2.5 dbar,46,0.16929180341057942,2450
2500,2.5 dbar,44,0.22091073209851986,2500
250,2.5 dbar,133,0.1131807898072748,250
300,2.5 dbar,121,0.13712794466877037,300
350,2.5 dbar,114,0.11601981977913081,350
400,2.5 dbar,109,0.1166542902386716,400
450,2.5 dbar,102,0.14589421818729773,450
500,2.5 dbar,102,0.105125776898817,500
50,2.5 dbar,841,0.0550503809014107,50
550,2.5 dbar,98,0.14276112540128688,550
600,2.5 dbar,91,0.12048572493806058,600
650,2.5 dbar,84,0.19397841273250135,650
700,2.5 dbar,85,0.17087471231235765,700
750,2.5 dbar,80,0.15160908766090875,750
800,2.5 dbar,78,0.19549434098475718,800
850,2.5 dbar,76,0.14845095118016655,850
900,2.5 dbar,73,0.1978657885232519,900
950,2.5 dbar,73,0.23695839796459586,950
