Parameter Sweep for BGR1920
13:40 on April 4, 2024
m_pts,ell_size,n_clusters,DBCV,m_cls
1000,2.5 dbar,54,0.17960263975367188,1000
100,2.5 dbar,141,0.06499457288670589,100
1050,2.5 dbar,54,0.16918811315628532,1050
1100,2.5 dbar,51,0.1919053151860918,1100
1150,2.5 dbar,50,0.15889360273274397,1150
1200,2.5 dbar,47,0.14790633789331817,1200
1250,2.5 dbar,42,0.1403463866156756,1250
1300,2.5 dbar,42,0.14373581084847054,1300
1350,2.5 dbar,40,0.13892381584042868,1350
1400,2.5 dbar,41,0.12884966359790737,1400
1450,2.5 dbar,39,0.1411215733517177,1450
1500,2.5 dbar,36,0.1390738911087363,1500
150,2.5 dbar,105,0.10428427371312607,150
1550,2.5 dbar,36,0.14076147003265826,1550
1600,2.5 dbar,34,0.11386354041442755,1600
1650,2.5 dbar,34,0.11672229433279488,1650
1700,2.5 dbar,32,0.15286191521860876,1700
1750,2.5 dbar,30,0.15127953400446223,1750
1800,2.5 dbar,30,0.1637359911644607,1800
1850,2.5 dbar,28,0.2190255837382163,1850
1900,2.5 dbar,27,0.1356582099899804,1900
1950,2.5 dbar,25,0.12834353287665992,1950
2000,2.5 dbar,27,0.13603944506652288,2000
200,2.5 dbar,90,0.07178370518127763,200
2050,2.5 dbar,27,0.14274258805296944,2050
2100,2.5 dbar,23,0.1228110039171977,2100
2150,2.5 dbar,23,0.11531592334980152,2150
2200,2.5 dbar,23,0.0994764178937568,2200
2250,2.5 dbar,23,0.10334750449041015,2250
2300,2.5 dbar,23,0.10274554838056765,2300
2350,2.5 dbar,22,0.09158612325791197,2350
2400,2.5 dbar,22,0.09717853722920078,2400
2450,2.5 dbar,21,0.08612049269111836,2450
2500,2.5 dbar,20,0.09363616284527125,2500
250,2.5 dbar,81,0.054807292077007255,250
300,2.5 dbar,75,0.11455188376823779,300
350,2.5 dbar,71,0.09160170735202952,350
400,2.5 dbar,69,0.11751344685105146,400
450,2.5 dbar,68,0.07424964264999892,450
500,2.5 dbar,66,0.090629428286543,500
50,2.5 dbar,320,0.056940359997571945,50
550,2.5 dbar,63,0.13498959208848382,550
600,2.5 dbar,63,0.11430149177426643,600
650,2.5 dbar,62,0.15915424740877893,650
700,2.5 dbar,62,0.15112142365638553,700
750,2.5 dbar,61,0.1790752281362051,750
800,2.5 dbar,59,0.1426317277390631,800
850,2.5 dbar,60,0.11612086721352931,850
900,2.5 dbar,61,0.1457661116747258,900
950,2.5 dbar,58,0.1576167007967651,950
