Parameter Sweep for BGR0910
13:40 on March 28, 2024
m_pts,ell_size,n_clusters,DBCV,m_cls
1000,2.5 dbar,56,0.1731376810721354,1000
100,2.5 dbar,167,0.07565385335280536,100
1050,2.5 dbar,55,0.1267679447100329,1050
1100,2.5 dbar,54,0.16119817358783997,1100
1150,2.5 dbar,54,0.1429918816657884,1150
1200,2.5 dbar,54,0.14545142059922306,1200
1250,2.5 dbar,52,0.15864709922535739,1250
1300,2.5 dbar,52,0.15078526622834434,1300
1350,2.5 dbar,51,0.14217008101823697,1350
1400,2.5 dbar,49,0.13407083733253722,1400
1450,2.5 dbar,49,0.15573676194382474,1450
1500,2.5 dbar,48,0.1410049173293746,1500
150,2.5 dbar,130,0.07672775886863767,150
1550,2.5 dbar,47,0.16060849561349028,1550
1600,2.5 dbar,46,0.14225087406296505,1600
1650,2.5 dbar,43,0.13218862550305369,1650
1700,2.5 dbar,42,0.11780697540760647,1700
1750,2.5 dbar,38,0.11041700406913861,1750
1800,2.5 dbar,37,0.1296168665823023,1800
1850,2.5 dbar,35,0.1171582199598711,1850
1900,2.5 dbar,34,0.13772252885318265,1900
1950,2.5 dbar,34,0.13727852163328697,1950
2000,2.5 dbar,34,0.13951565215121328,2000
200,2.5 dbar,106,0.08881187749932898,200
2050,2.5 dbar,34,0.13714327483671124,2050
2100,2.5 dbar,34,0.136907131359403,2100
2150,2.5 dbar,33,0.12944680185825008,2150
2200,2.5 dbar,32,0.146009221286539,2200
2250,2.5 dbar,32,0.11089884689239735,2250
2300,2.5 dbar,32,0.11433122459026765,2300
2350,2.5 dbar,32,0.11333795015738196,2350
2400,2.5 dbar,32,0.11177457225456054,2400
2450,2.5 dbar,32,0.11033838526612909,2450
2500,2.5 dbar,32,0.10938330854896829,2500
250,2.5 dbar,92,0.177252761329385,250
300,2.5 dbar,85,0.1796508029607608,300
350,2.5 dbar,80,0.13782728337324898,350
400,2.5 dbar,77,0.12347143089710767,400
450,2.5 dbar,74,0.1078374485268822,450
500,2.5 dbar,71,0.1687597067387431,500
50,2.5 dbar,392,0.05342891168929918,50
550,2.5 dbar,67,0.1359406382406242,550
600,2.5 dbar,64,0.14061593074187526,600
650,2.5 dbar,63,0.1299362722953146,650
700,2.5 dbar,61,0.12071581056244217,700
750,2.5 dbar,60,0.13246683638501572,750
800,2.5 dbar,60,0.13434353279017994,800
850,2.5 dbar,59,0.12268478329239298,850
900,2.5 dbar,57,0.12585332179679176,900
950,2.5 dbar,57,0.13442906607780403,950
