Parameter Sweep for BGR2021
13:40 on April 4, 2024
m_pts,ell_size,n_clusters,DBCV,m_cls
1000,2.5 dbar,71,0.15016090811519825,1000
100,2.5 dbar,238,0.0569067827397248,100
1050,2.5 dbar,71,0.1364602709924873,1050
1100,2.5 dbar,70,0.14595193980150398,1100
1150,2.5 dbar,68,0.17193819475657438,1150
1200,2.5 dbar,68,0.15281048094236097,1200
1250,2.5 dbar,66,0.13605994857595366,1250
1300,2.5 dbar,66,0.13946920174579053,1300
1350,2.5 dbar,67,0.17735545793476457,1350
1400,2.5 dbar,65,0.14851023159740018,1400
1450,2.5 dbar,65,0.15348513344569203,1450
1500,2.5 dbar,65,0.15385165455060787,1500
150,2.5 dbar,170,0.06628953185565428,150
1550,2.5 dbar,64,0.16143312604228433,1550
1600,2.5 dbar,61,0.14987884129998788,1600
1650,2.5 dbar,58,0.16224746784610786,1650
1700,2.5 dbar,58,0.1629119352212531,1700
1750,2.5 dbar,56,0.1554709372660834,1750
1800,2.5 dbar,54,0.17020889195193556,1800
1850,2.5 dbar,52,0.18760911787967385,1850
1900,2.5 dbar,50,0.1490611572526701,1900
1950,2.5 dbar,51,0.17964937643172993,1950
2000,2.5 dbar,51,0.1860317902204777,2000
200,2.5 dbar,134,0.09573483540430745,200
2050,2.5 dbar,51,0.18700137771072126,2050
2100,2.5 dbar,49,0.20199397337326222,2100
2150,2.5 dbar,50,0.18867375139571876,2150
2200,2.5 dbar,48,0.17944608810426604,2200
2250,2.5 dbar,46,0.1926404880676209,2250
2300,2.5 dbar,44,0.19370444657674488,2300
2350,2.5 dbar,43,0.16838477332727772,2350
2400,2.5 dbar,43,0.16854357446607138,2400
2450,2.5 dbar,41,0.16661229650395412,2450
2500,2.5 dbar,42,0.1691698501934188,2500
250,2.5 dbar,118,0.10106541086702228,250
300,2.5 dbar,108,0.12544514149821623,300
350,2.5 dbar,98,0.13508087205830274,350
400,2.5 dbar,91,0.10918170950335893,400
450,2.5 dbar,85,0.1234903308401801,450
500,2.5 dbar,84,0.13975806137819932,500
50,2.5 dbar,547,0.04379400854363137,50
550,2.5 dbar,83,0.13725755151785352,550
600,2.5 dbar,80,0.14133208510739909,600
650,2.5 dbar,77,0.1462840580379409,650
700,2.5 dbar,76,0.13376341319146964,700
750,2.5 dbar,74,0.12092339275215437,750
800,2.5 dbar,77,0.14704155178389433,800
850,2.5 dbar,75,0.14745894052008188,850
900,2.5 dbar,73,0.13877330230253376,900
950,2.5 dbar,72,0.1574474334377528,950
