Parameter Sweep for BGR1617
13:40 on April 4, 2024
m_pts,ell_size,n_clusters,DBCV,m_cls
1000,2.5 dbar,38,0.24902314917830382,1000
100,2.5 dbar,121,0.09624909846457412,100
1050,2.5 dbar,37,0.24607178744416427,1050
1100,2.5 dbar,36,0.26280554345309104,1100
1150,2.5 dbar,36,0.25599635880186145,1150
1200,2.5 dbar,32,0.26527054368705866,1200
1250,2.5 dbar,30,0.2554686896539713,1250
1300,2.5 dbar,28,0.2447112500686597,1300
1350,2.5 dbar,27,0.2404962333463763,1350
1400,2.5 dbar,26,0.2418909093158283,1400
1450,2.5 dbar,25,0.24498509338408755,1450
1500,2.5 dbar,25,0.1844917739010116,1500
150,2.5 dbar,95,0.12785944873302407,150
1550,2.5 dbar,23,0.16206912030282186,1550
1600,2.5 dbar,22,0.1750647068955695,1600
1650,2.5 dbar,22,0.16329510073013073,1650
1700,2.5 dbar,21,0.18649963597639155,1700
1750,2.5 dbar,20,0.17415746083317105,1750
1800,2.5 dbar,20,0.17434813494257523,1800
1850,2.5 dbar,20,0.17704723786412943,1850
1900,2.5 dbar,20,0.17419156771659158,1900
1950,2.5 dbar,20,0.16771869269076853,1950
2000,2.5 dbar,19,0.10764923884366037,2000
200,2.5 dbar,86,0.21299172439545902,200
2050,2.5 dbar,19,0.10649420211494726,2050
2100,2.5 dbar,19,0.10493284299120029,2100
2150,2.5 dbar,17,0.08620499073752684,2150
2200,2.5 dbar,17,0.07009216881454305,2200
2250,2.5 dbar,16,0.08494026513464402,2250
2300,2.5 dbar,16,0.08354616840300114,2300
2350,2.5 dbar,16,0.07692796769501059,2350
2400,2.5 dbar,16,0.07726756351699751,2400
2450,2.5 dbar,15,0.07010535170609021,2450
2500,2.5 dbar,15,0.06904666505038352,2500
250,2.5 dbar,82,0.14681792132460675,250
300,2.5 dbar,78,0.16802352165887585,300
350,2.5 dbar,73,0.12639715319957356,350
400,2.5 dbar,69,0.09193420577566694,400
450,2.5 dbar,68,0.09285796839577949,450
500,2.5 dbar,67,0.1645780200564718,500
50,2.5 dbar,230,0.09213278702100917,50
550,2.5 dbar,65,0.1491929113755415,550
600,2.5 dbar,61,0.18998425598169136,600
650,2.5 dbar,59,0.164269885301584,650
700,2.5 dbar,55,0.18330314185888866,700
750,2.5 dbar,54,0.16902172794135897,750
800,2.5 dbar,52,0.18557684154123796,800
850,2.5 dbar,50,0.12445628148176939,850
900,2.5 dbar,45,0.2123089503997935,900
950,2.5 dbar,40,0.26548818244389455,950
