Parameter Sweep for BGR1516
13:40 on April 3, 2024
m_pts,ell_size,n_clusters,DBCV,m_cls
1000,2.5 dbar,34,0.09984616082517479,1000
100,2.5 dbar,124,0.08957523302683464,100
1050,2.5 dbar,33,0.10081734269838633,1050
1100,2.5 dbar,33,0.10192965069248577,1100
1150,2.5 dbar,33,0.08992558373305333,1150
1200,2.5 dbar,28,0.10415879424673526,1200
1250,2.5 dbar,29,0.11998859637901124,1250
1300,2.5 dbar,27,0.09879337571166517,1300
1350,2.5 dbar,26,0.0967870163983162,1350
1400,2.5 dbar,26,0.09803295964255013,1400
1450,2.5 dbar,25,0.13544961665979274,1450
1500,2.5 dbar,23,0.1426064965675562,1500
150,2.5 dbar,98,0.11277974304041498,150
1550,2.5 dbar,23,0.1423237863488041,1550
1600,2.5 dbar,23,0.14163262829493897,1600
1650,2.5 dbar,22,0.16747401986894814,1650
1700,2.5 dbar,22,0.1636743202559633,1700
1750,2.5 dbar,22,0.16289305790640152,1750
1800,2.5 dbar,21,0.1257873626268674,1800
1850,2.5 dbar,21,0.12733127543285144,1850
1900,2.5 dbar,21,0.1288734170425252,1900
1950,2.5 dbar,20,0.1502738916790204,1950
2000,2.5 dbar,20,0.14863904625919622,2000
200,2.5 dbar,86,0.15272635540830118,200
2050,2.5 dbar,20,0.14744396924595124,2050
2100,2.5 dbar,20,0.14602336312542571,2100
2150,2.5 dbar,19,0.18574109247322423,2150
2200,2.5 dbar,19,0.15387161539432714,2200
2250,2.5 dbar,19,0.14918238049343369,2250
2300,2.5 dbar,18,0.14478434552639805,2300
2350,2.5 dbar,18,0.14232130690720027,2350
2400,2.5 dbar,17,0.13472099048674674,2400
2450,2.5 dbar,17,0.13437175487952904,2450
2500,2.5 dbar,17,0.1341268799433755,2500
250,2.5 dbar,83,0.10344999513551505,250
300,2.5 dbar,78,0.11102608361447967,300
350,2.5 dbar,72,0.145548015652373,350
400,2.5 dbar,69,0.11219025155555923,400
450,2.5 dbar,65,0.1738623746124383,450
500,2.5 dbar,64,0.17720015969709713,500
50,2.5 dbar,192,0.09810711613906181,50
550,2.5 dbar,62,0.12327174942600423,550
600,2.5 dbar,62,0.12885659791853862,600
650,2.5 dbar,60,0.12118149119751453,650
700,2.5 dbar,50,0.14163850805071537,700
750,2.5 dbar,48,0.10875017351521538,750
800,2.5 dbar,44,0.15311908071744768,800
850,2.5 dbar,42,0.12460092470210261,850
900,2.5 dbar,40,0.08936933476095392,900
950,2.5 dbar,38,0.12106866349725973,950
