Parameter Sweep for BGR2122
13:40 on April 4, 2024
m_pts,ell_size,n_clusters,DBCV,m_cls
1000,2.5 dbar,64,0.14486112982750554,1000
100,2.5 dbar,291,0.061544884084595804,100
1050,2.5 dbar,64,0.11825393751180796,1050
1100,2.5 dbar,64,0.14368615343148172,1100
1150,2.5 dbar,63,0.18226737630580764,1150
1200,2.5 dbar,63,0.13623900410099368,1200
1250,2.5 dbar,63,0.15451292667254887,1250
1300,2.5 dbar,62,0.13870499571618053,1300
1350,2.5 dbar,62,0.15111994301757437,1350
1400,2.5 dbar,59,0.19419342637321838,1400
1450,2.5 dbar,58,0.12066632485756972,1450
1500,2.5 dbar,55,0.17307070358203472,1500
150,2.5 dbar,187,0.06957607386431189,150
1550,2.5 dbar,55,0.18355692057385162,1550
1600,2.5 dbar,56,0.20441969714700897,1600
1650,2.5 dbar,55,0.1960099463137842,1650
1700,2.5 dbar,53,0.19589871996231473,1700
1750,2.5 dbar,53,0.1883763451897607,1750
1800,2.5 dbar,52,0.17307661244589392,1800
1850,2.5 dbar,52,0.1584875878153083,1850
1900,2.5 dbar,52,0.19374574325742025,1900
1950,2.5 dbar,51,0.1869218856815314,1950
2000,2.5 dbar,51,0.20022563557482623,2000
200,2.5 dbar,152,0.07432558192270482,200
2050,2.5 dbar,50,0.20996327089849867,2050
2100,2.5 dbar,49,0.18551375653698188,2100
2150,2.5 dbar,49,0.20723107879416347,2150
2200,2.5 dbar,48,0.2034464966412902,2200
2250,2.5 dbar,46,0.2072782569616003,2250
2300,2.5 dbar,46,0.18745673678241856,2300
2350,2.5 dbar,46,0.203632192475832,2350
2400,2.5 dbar,46,0.2109513731009872,2400
2450,2.5 dbar,45,0.24030918359967735,2450
2500,2.5 dbar,43,0.19933073775122945,2500
250,2.5 dbar,118,0.0802760003408168,250
300,2.5 dbar,111,0.07851117086888855,300
350,2.5 dbar,101,0.11144201621539353,350
400,2.5 dbar,96,0.1327499886602512,400
450,2.5 dbar,91,0.10176488137060197,450
500,2.5 dbar,87,0.08783387265751827,500
50,2.5 dbar,672,0.04305125066789512,50
550,2.5 dbar,81,0.1103626211124873,550
600,2.5 dbar,78,0.08874415011201647,600
650,2.5 dbar,77,0.08367382796002783,650
700,2.5 dbar,73,0.1170898251727023,700
750,2.5 dbar,75,0.1035700951452042,750
800,2.5 dbar,70,0.10571436830549295,800
850,2.5 dbar,69,0.14547025942878397,850
900,2.5 dbar,69,0.08244687080069694,900
950,2.5 dbar,68,0.09255936000823976,950
