Parameter Sweep for BGR0809
13:40 on March 28, 2024
m_pts,ell_size,n_clusters,DBCV,m_cls
1000,2.5 dbar,50,0.10391382243050974,1000
100,2.5 dbar,192,0.0707143563832893,100
1050,2.5 dbar,48,0.12779216245606417,1050
1100,2.5 dbar,47,0.09675380108554194,1100
1150,2.5 dbar,45,0.10483592515692652,1150
1200,2.5 dbar,44,0.12080598323958161,1200
1250,2.5 dbar,43,0.13086850762342267,1250
1300,2.5 dbar,43,0.10861354836264422,1300
1350,2.5 dbar,39,0.10264525032871775,1350
1400,2.5 dbar,38,0.10969316560062106,1400
1450,2.5 dbar,35,0.142010146676468,1450
1500,2.5 dbar,35,0.14708028789843272,1500
150,2.5 dbar,144,0.07568029506994364,150
1550,2.5 dbar,35,0.13742656086089666,1550
1600,2.5 dbar,33,0.1287363790880851,1600
1650,2.5 dbar,34,0.14298009899999112,1650
1700,2.5 dbar,33,0.12933528484062054,1700
1750,2.5 dbar,33,0.13136885455392372,1750
1800,2.5 dbar,32,0.151536101031242,1800
1850,2.5 dbar,29,0.11020014310992923,1850
1900,2.5 dbar,29,0.12427100757702392,1900
1950,2.5 dbar,28,0.11732665253515782,1950
2000,2.5 dbar,28,0.11706303035399425,2000
200,2.5 dbar,107,0.09458807333771986,200
2050,2.5 dbar,28,0.10298318411264343,2050
2100,2.5 dbar,28,0.10274346904520525,2100
2150,2.5 dbar,29,0.11677608778289694,2150
2200,2.5 dbar,28,0.10176527052329758,2200
2250,2.5 dbar,27,0.15480044360200074,2250
2300,2.5 dbar,26,0.14931577872373245,2300
2350,2.5 dbar,25,0.09490594893617584,2350
2400,2.5 dbar,25,0.09454125054157196,2400
2450,2.5 dbar,25,0.09464319046097054,2450
2500,2.5 dbar,25,0.09372011670972127,2500
250,2.5 dbar,93,0.1477131219913993,250
300,2.5 dbar,83,0.10895266682953339,300
350,2.5 dbar,75,0.16097322211109652,350
400,2.5 dbar,65,0.12223151045668651,400
450,2.5 dbar,65,0.16150411367837275,450
500,2.5 dbar,61,0.13622341353579312,500
50,2.5 dbar,345,0.057616291429751554,50
550,2.5 dbar,58,0.08055599135886692,550
600,2.5 dbar,57,0.11443934035453276,600
650,2.5 dbar,56,0.13496011640487274,650
700,2.5 dbar,55,0.10994801433791457,700
750,2.5 dbar,54,0.13712657521173197,750
800,2.5 dbar,52,0.136173651634394,800
850,2.5 dbar,52,0.09094359704396819,850
900,2.5 dbar,51,0.07684472181374896,900
950,2.5 dbar,50,0.12533462689771524,950
