Parameter Sweep for BGR0910
13:40 on March 28, 2024
m_pts,ell_size,n_clusters,DBCV,m_cls
1000,2.5 dbar,57,0.15141385438494004,1000
100,2.5 dbar,164,0.09659456837119783,100
1050,2.5 dbar,56,0.144666926823203,1050
1100,2.5 dbar,56,0.14331401531452215,1100
1150,2.5 dbar,57,0.15988507086125586,1150
1200,2.5 dbar,54,0.14397149817952865,1200
1250,2.5 dbar,54,0.16460919978009028,1250
1300,2.5 dbar,53,0.16152399522922015,1300
1350,2.5 dbar,52,0.16583793621101006,1350
1400,2.5 dbar,48,0.15274606461452522,1400
1450,2.5 dbar,46,0.1213433989764305,1450
1500,2.5 dbar,43,0.13143016018067316,1500
150,2.5 dbar,125,0.1079133604952873,150
1550,2.5 dbar,42,0.14585748113748281,1550
1600,2.5 dbar,39,0.1193252331440206,1600
1650,2.5 dbar,39,0.11966784153653234,1650
1700,2.5 dbar,38,0.1318913939152072,1700
1750,2.5 dbar,36,0.17344835904098532,1750
1800,2.5 dbar,36,0.16522801559985129,1800
1850,2.5 dbar,35,0.18491997950293662,1850
1900,2.5 dbar,35,0.19319282034829244,1900
1950,2.5 dbar,33,0.19619118302152097,1950
2000,2.5 dbar,31,0.1882807824958154,2000
200,2.5 dbar,102,0.11022292466361412,200
2050,2.5 dbar,30,0.18374396126698547,2050
2100,2.5 dbar,29,0.18928944959667143,2100
2150,2.5 dbar,28,0.1768388483093093,2150
2200,2.5 dbar,28,0.17600870465923363,2200
2250,2.5 dbar,27,0.1710930238718719,2250
2300,2.5 dbar,27,0.17051539224240148,2300
2350,2.5 dbar,26,0.1251008070181378,2350
2400,2.5 dbar,26,0.12477875887470602,2400
2450,2.5 dbar,26,0.11397566815753916,2450
2500,2.5 dbar,25,0.11877134960801561,2500
250,2.5 dbar,94,0.07519706005547454,250
300,2.5 dbar,91,0.08429133165155889,300
350,2.5 dbar,88,0.06735896855115334,350
400,2.5 dbar,86,0.10137243707722997,400
450,2.5 dbar,86,0.09284890738596438,450
500,2.5 dbar,83,0.11928246534979264,500
50,2.5 dbar,361,0.05415476932688188,50
550,2.5 dbar,79,0.08948407913234031,550
600,2.5 dbar,76,0.10362043473498583,600
650,2.5 dbar,74,0.10836693257303133,650
700,2.5 dbar,72,0.09014083530848842,700
750,2.5 dbar,72,0.097828420956315,750
800,2.5 dbar,70,0.14599904249001167,800
850,2.5 dbar,64,0.14147092243403586,850
900,2.5 dbar,64,0.1453096108850751,900
950,2.5 dbar,61,0.15729795321795254,950
