Parameter Sweep for BGR1213
13:40 on April 3, 2024
m_pts,ell_size,n_clusters,DBCV,m_cls
1000,2.5 dbar,55,0.18539298331817478,1000
100,2.5 dbar,155,0.10537768537526654,100
1050,2.5 dbar,53,0.16180529143580805,1050
1100,2.5 dbar,49,0.22564168649207764,1100
1150,2.5 dbar,47,0.21071983423207946,1150
1200,2.5 dbar,47,0.22373094172886876,1200
1250,2.5 dbar,45,0.21797509972508253,1250
1300,2.5 dbar,45,0.17417517517273254,1300
1350,2.5 dbar,44,0.2220660328503695,1350
1400,2.5 dbar,43,0.19247610749386218,1400
1450,2.5 dbar,43,0.18405667678807416,1450
1500,2.5 dbar,43,0.18206066805947416,1500
150,2.5 dbar,122,0.08619062417589969,150
1550,2.5 dbar,42,0.17040992971245328,1550
1600,2.5 dbar,39,0.15427484206436398,1600
1650,2.5 dbar,38,0.15073276398670868,1650
1700,2.5 dbar,35,0.1615916965829807,1700
1750,2.5 dbar,34,0.15350677215152117,1750
1800,2.5 dbar,34,0.14287365297920127,1800
1850,2.5 dbar,33,0.14623938440097367,1850
1900,2.5 dbar,33,0.1383414130628968,1900
1950,2.5 dbar,32,0.13426455023105802,1950
2000,2.5 dbar,32,0.13395928607857177,2000
200,2.5 dbar,107,0.09462624475531643,200
2050,2.5 dbar,31,0.17912015767516304,2050
2100,2.5 dbar,30,0.17915031837507478,2100
2150,2.5 dbar,30,0.1784515849292711,2150
2200,2.5 dbar,29,0.1738192510345004,2200
2250,2.5 dbar,28,0.17343677153934575,2250
2300,2.5 dbar,26,0.20484464114951398,2300
2350,2.5 dbar,26,0.1760701990728973,2350
2400,2.5 dbar,25,0.17125572165575442,2400
2450,2.5 dbar,24,0.10477848338768452,2450
2500,2.5 dbar,24,0.10475555216395906,2500
250,2.5 dbar,91,0.1310464629467342,250
300,2.5 dbar,85,0.13653068944002072,300
350,2.5 dbar,81,0.13033503119128412,350
400,2.5 dbar,77,0.11856669088409731,400
450,2.5 dbar,72,0.1626241708502965,450
500,2.5 dbar,71,0.1432045901060273,500
50,2.5 dbar,304,0.07754073315994411,50
550,2.5 dbar,70,0.16356753433672994,550
600,2.5 dbar,66,0.16465721724179302,600
650,2.5 dbar,64,0.18599540746484533,650
700,2.5 dbar,61,0.19145807950257707,700
750,2.5 dbar,59,0.17251704964272932,750
800,2.5 dbar,58,0.17825392887663308,800
850,2.5 dbar,57,0.169097664365608,850
900,2.5 dbar,56,0.1824863093969763,900
950,2.5 dbar,55,0.18862072005877728,950
