cluster,cRL,nir_SA,nir_CT,nir_press,ca_SA,cs_SA,ca_CT,cs_CT,ca_press,cs_press,nzca_pcs_press,trd_CT,trdR2_CT,trd_CT-fit,trdR2_CT-fit,trd_press,trdR2_press,trd_press-fit,trdR2_press-fit,nztrd_pcs_press,nztrdR2_pcs_press,percnztrd_pcs_press,SA_min,ca_iT,ca_cp,ca_rho,ca_FH,ca_FH_cumul
18,$-7.1$,$0.9$,$34.1$,$489.1$,$34.4367{\pm}0.0030$,0.011943817138671875,$-0.70{\pm}0.10$,0.9297949075698853,$239.17{\pm}28.46$,201.14901733398438,$0.74{\pm}0.45$,$(1.449{\pm}0.007){\times} 10^{-2}$,$0.52$,$(1.227{\pm}0.006){\times} 10^{-2}$,$0.52$,$3.33{\pm}0.03$,$0.32$,$2.61{\pm}0.01$,$0.46$,$(-2.29{\pm}0.09){\times} 10^{-2}$,$0.06$,$-3.09{\pm}0.12$,$34.431$,$-0.429$,$3981.287$,$1028.846$,$0.001$,$0.027$
19,$-6.9$,$1.1$,$32.6$,$2562.5$,$34.4513{\pm}0.0043$,0.01561737060546875,$-0.67{\pm}0.10$,0.9205186367034912,$238.70{\pm}29.55$,201.17213439941406,$1.01{\pm}0.62$,$(1.365{\pm}0.006){\times} 10^{-2}$,$0.54$,$(1.112{\pm}0.005){\times} 10^{-2}$,$0.54$,$3.38{\pm}0.02$,$0.37$,$2.51{\pm}0.01$,$0.48$,$(-2.83{\pm}0.11){\times} 10^{-2}$,$0.06$,$-2.81{\pm}0.11$,$34.443$,$-0.475$,$3981.609$,$1028.804$,$0.001$,$0.028$
20,$-6.9$,$1.2$,$37.5$,$139.4$,$34.4676{\pm}0.0046$,0.0174560546875,$-0.63{\pm}0.09$,0.9602586627006531,$241.56{\pm}29.43$,206.5174560546875,$1.18{\pm}0.74$,$(1.341{\pm}0.005){\times} 10^{-2}$,$0.55$,$(1.101{\pm}0.005){\times} 10^{-2}$,$0.52$,$3.52{\pm}0.02$,$0.39$,$2.54{\pm}0.01$,$0.48$,$(-2.85{\pm}0.13){\times} 10^{-2}$,$0.04$,$-2.42{\pm}0.11$,$34.459$,$-0.518$,$3981.684$,$1028.795$,$0.002$,$0.030$
21,$-6.9$,$0.9$,$33.1$,$310.4$,$34.4822{\pm}0.0032$,0.0128631591796875,$-0.60{\pm}0.09$,0.8467915654182434,$243.04{\pm}28.30$,213.0799102783203,$0.89{\pm}0.51$,$(1.247{\pm}0.006){\times} 10^{-2}$,$0.51$,$(1.059{\pm}0.005){\times} 10^{-2}$,$0.53$,$3.38{\pm}0.02$,$0.36$,$2.55{\pm}0.01$,$0.47$,$(-3.80{\pm}0.09){\times} 10^{-2}$,$0.14$,$-4.26{\pm}0.10$,$34.476$,$-0.559$,$3981.938$,$1028.761$,$0.001$,$0.031$
22,$-7.1$,$1.0$,$23.9$,$326.0$,$34.4968{\pm}0.0034$,0.014698028564453125,$-0.56{\pm}0.08$,0.9467211961746216,$243.73{\pm}28.85$,223.75758361816406,$1.11{\pm}0.73$,$(1.088{\pm}0.005){\times} 10^{-2}$,$0.48$,$(8.55{\pm}0.04){\times} 10^{-3}$,$0.46$,$3.60{\pm}0.02$,$0.42$,$2.45{\pm}0.01$,$0.47$,$(-5.50{\pm}0.11){\times} 10^{-2}$,$0.16$,$-4.93{\pm}0.10$,$34.489$,$-0.625$,$3982.176$,$1028.731$,$0.001$,$0.032$
23,$-7.6$,$1.2$,$24.6$,$256.0$,$34.5143{\pm}0.0051$,0.020214080810546875,$-0.52{\pm}0.08$,0.9935582280158997,$248.24{\pm}28.78$,231.83522033691406,$1.59{\pm}0.85$,$(9.84{\pm}0.05){\times} 10^{-3}$,$0.41$,$(8.00{\pm}0.04){\times} 10^{-3}$,$0.41$,$3.28{\pm}0.02$,$0.35$,$2.50{\pm}0.01$,$0.47$,$(-4.93{\pm}0.14){\times} 10^{-2}$,$0.09$,$-3.10{\pm}0.09$,$34.504$,$-0.664$,$3982.367$,$1028.706$,$0.002$,$0.034$
24,$-8.3$,$1.0$,$25.1$,$256.9$,$34.5336{\pm}0.0043$,0.018375396728515625,$-0.48{\pm}0.07$,1.0733474493026733,$247.33{\pm}27.97$,232.57943725585938,$1.58{\pm}0.86$,$(7.38{\pm}0.04){\times} 10^{-3}$,$0.29$,$(5.57{\pm}0.03){\times} 10^{-3}$,$0.27$,$3.48{\pm}0.02$,$0.40$,$2.314{\pm}0.009$,$0.43$,$(-7.84{\pm}0.13){\times} 10^{-2}$,$0.23$,$-4.95{\pm}0.08$,$34.524$,$-0.693$,$3982.433$,$1028.698$,$0.001$,$0.035$
25,$-9.4$,$1.2$,$29.8$,$288.3$,$34.5517{\pm}0.0045$,0.0174560546875,$-0.43{\pm}0.06$,1.0947132110595703,$253.79{\pm}27.88$,236.46302795410156,$1.58{\pm}0.79$,$(6.23{\pm}0.05){\times} 10^{-3}$,$0.21$,$(5.47{\pm}0.04){\times} 10^{-3}$,$0.25$,$3.30{\pm}0.02$,$0.32$,$2.37{\pm}0.01$,$0.41$,$(-1.77{\pm}0.14){\times} 10^{-2}$,$0.01$,$-1.12{\pm}0.09$,$34.542$,$-0.720$,$3982.494$,$1028.691$,$0.001$,$0.036$
26,$-8.5$,$1.0$,$29.1$,$292.1$,$34.5662{\pm}0.0031$,0.013782501220703125,$-0.40{\pm}0.06$,1.0691064596176147,$252.97{\pm}27.65$,239.56866455078125,$1.26{\pm}0.68$,$(5.79{\pm}0.05){\times} 10^{-3}$,$0.21$,$(4.69{\pm}0.04){\times} 10^{-3}$,$0.22$,$3.56{\pm}0.02$,$0.39$,$2.32{\pm}0.01$,$0.42$,$(-5.18{\pm}0.12){\times} 10^{-2}$,$0.14$,$-4.13{\pm}0.09$,$34.560$,$-0.737$,$3982.598$,$1028.677$,$7.651{\times}10^{-4}$,$0.037$
27,$-8.8$,$1.0$,$22.6$,$111.8$,$34.5801{\pm}0.0031$,0.0137786865234375,$-0.36{\pm}0.06$,0.8597721457481384,$255.92{\pm}27.33$,238.373046875,$1.30{\pm}0.67$,$(4.77{\pm}0.04){\times} 10^{-3}$,$0.15$,$(3.64{\pm}0.03){\times} 10^{-3}$,$0.15$,$3.55{\pm}0.02$,$0.40$,$2.20{\pm}0.01$,$0.40$,$(-4.50{\pm}0.11){\times} 10^{-2}$,$0.11$,$-3.47{\pm}0.09$,$34.573$,$-0.784$,$3982.883$,$1028.640$,$6.114{\times}10^{-4}$,$0.038$
28,$-8.8$,$1.3$,$17.9$,$410.5$,$34.5964{\pm}0.0053$,0.0211334228515625,$-0.31{\pm}0.06$,0.8201375007629395,$261.85{\pm}27.95$,239.4761962890625,$2.03{\pm}0.96$,$(4.53{\pm}0.04){\times} 10^{-3}$,$0.14$,$(3.54{\pm}0.03){\times} 10^{-3}$,$0.14$,$3.15{\pm}0.02$,$0.33$,$2.093{\pm}0.009$,$0.38$,$(1.72{\pm}0.16){\times} 10^{-2}$,$0.01$,$0.85{\pm}0.08$,$34.587$,$-0.810$,$3983.007$,$1028.624$,$9.304{\times}10^{-4}$,$0.039$
29,$-10.0$,$1.0$,$23.5$,$410.6$,$34.6172{\pm}0.0038$,0.0174560546875,$-0.26{\pm}0.05$,0.9700108766555786,$261.26{\pm}27.08$,239.52108764648438,$1.92{\pm}0.97$,$(3.19{\pm}0.03){\times} 10^{-3}$,$0.09$,$(2.23{\pm}0.03){\times} 10^{-3}$,$0.07$,$3.67{\pm}0.01$,$0.43$,$2.253{\pm}0.009$,$0.40$,$(-7.72{\pm}0.15){\times} 10^{-2}$,$0.16$,$-4.01{\pm}0.08$,$34.608$,$-0.826$,$3982.945$,$1028.633$,$5.559{\times}10^{-4}$,$0.039$
30,$-11.9$,$1.3$,$27.7$,$67.0$,$34.6341{\pm}0.0038$,0.01561737060546875,$-0.22{\pm}0.05$,0.9463298320770264,$267.42{\pm}26.74$,239.15374755859375,$1.66{\pm}0.82$,$(2.33{\pm}0.04){\times} 10^{-3}$,$0.04$,$(1.34{\pm}0.03){\times} 10^{-3}$,$0.02$,$3.45{\pm}0.02$,$0.33$,$2.22{\pm}0.01$,$0.34$,$(-4.49{\pm}0.15){\times} 10^{-2}$,$0.07$,$-2.71{\pm}0.09$,$34.626$,$-0.848$,$3983.099$,$1028.613$,$2.883{\times}10^{-4}$,$0.039$
31,$-10.3$,$0.9$,$27.2$,$206.4$,$34.6461{\pm}0.0025$,0.01102447509765625,$-0.18{\pm}0.05$,0.927960216999054,$274.80{\pm}27.45$,240.6693572998047,$1.14{\pm}0.69$,$(3.22{\pm}0.05){\times} 10^{-3}$,$0.10$,$(2.82{\pm}0.05){\times} 10^{-3}$,$0.10$,$2.44{\pm}0.03$,$0.17$,$2.03{\pm}0.02$,$0.34$,$(1.26{\pm}0.17){\times} 10^{-2}$,$0.01$,$1.11{\pm}0.15$,$34.641$,$-0.900$,$3983.422$,$1028.571$,$4.180{\times}10^{-4}$,$0.040$
32,$-15.2$,$1.1$,$14.9$,$67.8$,$34.6610{\pm}0.0034$,0.016536712646484375,$-0.14{\pm}0.04$,0.6564082503318787,$270.99{\pm}26.97$,241.8095245361328,$1.91{\pm}0.90$,$(3.60{\pm}0.32){\times} 10^{-4}$,$0.00$,$(4.91{\pm}0.27){\times} 10^{-4}$,$0.00$,$3.81{\pm}0.02$,$0.41$,$2.364{\pm}0.010$,$0.40$,$(-2.31{\pm}0.17){\times} 10^{-2}$,$0.01$,$-1.21{\pm}0.09$,$34.653$,$-0.919$,$3983.532$,$1028.557$,$1.215{\times}10^{-4}$,$0.040$
33,$-13.3$,$1.1$,$21.6$,$208.7$,$34.6776{\pm}0.0040$,0.018375396728515625,$-0.09{\pm}0.04$,0.9478753805160522,$275.96{\pm}27.17$,243.3507080078125,$2.18{\pm}1.00$,$(2.20{\pm}0.29){\times} 10^{-4}$,$5.42{\times}10^{-4}$,$(2.46{\pm}0.25){\times} 10^{-4}$,$9.10{\times}10^{-4}$,$3.51{\pm}0.01$,$0.37$,$2.170{\pm}0.009$,$0.37$,$(-1.02{\pm}1.76){\times} 10^{-3}$,$2.54{\times}10^{-5}$,$(-4.69{\pm}8.06){\times} 10^{-2}$,$34.669$,$-0.939$,$3983.628$,$1028.545$,$6.972{\times}10^{-5}$,$0.040$
34,$-22.0$,$1.3$,$32.5$,$103.1$,$34.6973{\pm}0.0044$,0.017459869384765625,$-0.04{\pm}0.05$,0.9066731929779053,$281.59{\pm}28.33$,243.84600830078125,$1.98{\pm}1.11$,$(-2.12{\pm}0.03){\times} 10^{-3}$,$0.05$,$(-1.58{\pm}0.03){\times} 10^{-3}$,$0.04$,$2.99{\pm}0.02$,$0.31$,$2.258{\pm}0.010$,$0.46$,$(-1.61{\pm}0.21){\times} 10^{-2}$,$0.01$,$-0.81{\pm}0.11$,$34.687$,$-0.934$,$3983.621$,$1028.546$,$-4.069{\times}10^{-4}$,$0.040$
35,$-12.8$,$1.2$,$31.3$,$2002.2$,$34.7110{\pm}0.0036$,0.016536712646484375,$-0.01{\pm}0.04$,0.8710061311721802,$289.12{\pm}25.85$,242.75599670410156,$2.03{\pm}1.09$,$(-6.43{\pm}3.93){\times} 10^{-5}$,$3.70{\times}10^{-5}$,$(-5.76{\pm}3.60){\times} 10^{-5}$,$3.54{\times}10^{-5}$,$2.26{\pm}0.02$,$0.13$,$1.95{\pm}0.01$,$0.29$,$(4.91{\pm}0.22){\times} 10^{-2}$,$0.04$,$2.42{\pm}0.11$,$34.705$,$-0.962$,$3983.809$,$1028.521$,$-1.517{\times}10^{-5}$,$0.040$
36,$-18.0$,$0.9$,$14.7$,$104.0$,$34.7316{\pm}0.0036$,0.01929473876953125,$0.05{\pm}0.05$,0.9406284093856812,$283.96{\pm}25.88$,245.8839111328125,$2.97{\pm}1.43$,$(-2.71{\pm}0.03){\times} 10^{-3}$,$0.07$,$(-2.18{\pm}0.02){\times} 10^{-3}$,$0.06$,$3.57{\pm}0.01$,$0.38$,$2.075{\pm}0.008$,$0.32$,$-0.13{\pm}0.00$,$0.21$,$-4.37{\pm}0.07$,$34.721$,$-0.996$,$3983.990$,$1028.498$,$-8.383{\times}10^{-4}$,$0.039$
37,$-40.6$,$1.4$,$24.2$,$2010.5$,$34.7561{\pm}0.0060$,0.026645660400390625,$0.12{\pm}0.05$,0.950129508972168,$289.24{\pm}25.62$,243.7607421875,$4.10{\pm}1.73$,$(-5.18{\pm}0.02){\times} 10^{-3}$,$0.21$,$(-4.24{\pm}0.02){\times} 10^{-3}$,$0.18$,$3.03{\pm}0.01$,$0.33$,$1.879{\pm}0.007$,$0.30$,$-0.13{\pm}0.00$,$0.17$,$-3.27{\pm}0.06$,$34.741$,$-1.026$,$3984.127$,$1028.481$,$-0.002$,$0.037$
38,$-12.8$,$1.0$,$19.3$,$91.4$,$34.7754{\pm}0.0036$,0.01561737060546875,$0.16{\pm}0.05$,0.7588167786598206,$301.33{\pm}26.48$,241.77537536621094,$1.77{\pm}1.25$,$(-2.18{\pm}0.03){\times} 10^{-3}$,$0.06$,$(-2.24{\pm}0.03){\times} 10^{-3}$,$0.07$,$2.03{\pm}0.02$,$0.16$,$1.87{\pm}0.01$,$0.34$,$(9.01{\pm}0.21){\times} 10^{-2}$,$0.15$,$5.08{\pm}0.12$,$34.767$,$-1.076$,$3984.584$,$1028.421$,$-5.166{\times}10^{-4}$,$0.036$
