cluster,cRL,nir_SA,nir_CT,nir_press,ca_SA,csd_SA,cs_SA,ca_CT,csd_CT,cs_CT,ca_press,csd_press,cs_press,nzca_pcs_press,nzcsd_pcs_press,trd_CT,trdsd_CT,trdR2_CT,trd_CT-fit,trdsd_CT-fit,trdR2_CT-fit,trd_press,trdsd_press,trdR2_press,trd_press-fit,trdsd_press-fit,trdR2_press-fit,nztrd_pcs_press,nztrdsd_pcs_press,nztrdR2_pcs_press,percnztrd_pcs_press,percnztrdsd_pcs_press,SA_min,ca_iT,ca_cp,ca_rho,ca_FH,ca_FH_cumul
27,-8.778469206545429,0.9944933920704846,22.560918979325468,111.84867295286782,34.5800895690918,0.003053207416087389,0.0137786865234375,-0.3599661588668823,0.05991847813129425,0.8597721457481384,255.91943359375,27.328083038330078,238.373046875,1.2951160953102852,0.6736037926656114,0.00477446678118385,4.370983750814334e-05,0.15256685205841766,0.003636332193947894,3.347772622245843e-05,0.15112086289959248,3.5452803267855435,0.016712867364036016,0.40440340531831553,2.204481056618147,0.010495273364421711,0.3996573477134922,-0.04495693043121188,0.0011430328411024956,0.1120737783947425,-3.471266444298266,0.08825717209766022,34.57346978569136,-0.784082897012311,3982.883332457696,1028.639967820683,0.0006114053920989049,0.037633779604977075
28,-8.756403324499017,1.294997662459093,17.947561947520207,410.4805147251138,34.59640884399414,0.005278529599308968,0.0211334228515625,-0.3142698407173157,0.06131259351968765,0.8201375007629395,261.8475646972656,27.952301025390625,239.4761962890625,2.025673104524967,0.9636427484767297,0.0045269905299743325,3.8706227124988615e-05,0.14165235813259738,0.003537815553683269,3.099437253508988e-05,0.13583304365514137,3.146594284799422,0.01559881020120664,0.3292685858621815,2.0928820997307307,0.009247004186967181,0.38195413902837944,0.017218759382918416,0.001576619367206351,0.008800467524977453,0.8500265587993933,0.07783187542375343,34.587254251481184,-0.8098029384293289,3983.0065358498778,1028.6241751008188,0.00093039705670492,0.03856417666168199
29,-9.976434899030014,1.035059941189776,23.455710346353367,410.55746194486585,34.617225646972656,0.0037697928491979837,0.0174560546875,-0.2597961127758026,0.05138484761118889,0.9700108766555786,261.26416015625,27.082754135131836,239.52108764648438,1.9221745639734422,0.9683291803368858,0.0031874221272627915,3.3687529638892854e-05,0.08949973206582815,0.002227665791768478,2.772879840320362e-05,0.06617647096527561,3.6680943882293953,0.014089099912340763,0.42668570762154884,2.2534596243617937,0.009065593567788128,0.404206700030181,-0.07717112451756283,0.001523568817221137,0.16185009500042058,-4.0147823181073505,0.07926277070651047,34.60839043235892,-0.8264050975900789,3982.9450199292182,1028.6333660526095,0.0005559091389624736,0.039120085800644466
30,-11.89116186947758,1.2963901203293224,27.722948273468663,67.0137677441423,34.634090423583984,0.0038442492950707674,0.01561737060546875,-0.21844111382961273,0.05120236799120903,0.9463298320770264,267.4206848144531,26.74066925048828,239.15374755859375,1.6597875790022323,0.8242175475075428,0.0023281354688369786,4.0650204174444664e-05,0.040586057096803144,0.0013379629952930139,3.244204931365409e-05,0.021464851012389517,3.4502612736834055,0.01778319047690774,0.32681340931738767,2.2150819312616323,0.011024810601823773,0.3423715721742068,-0.04492452349501045,0.0015135179380106605,0.06650789760948413,-2.7066429501789897,0.09118744815047353,34.625850755692696,-0.8476365087387084,3983.0991121424163,1028.613193958243,0.0002883140781065076,0.03940839987875097
31,-10.307662140468976,0.915136162127929,27.18480620994265,206.41940845439078,34.64613723754883,0.0024745201226323843,0.01102447509765625,-0.18430586159229279,0.04875735566020012,0.927960216999054,274.797607421875,27.44742774963379,240.6693572998047,1.1410542454332704,0.689292067679259,0.0032205828592343816,5.3507928757425094e-05,0.09509478200056026,0.0028214286294956,4.529090237629578e-05,0.10118317533499444,2.4413956300468045,0.02880563934020798,0.1724412110174695,2.0334387266926504,0.015130926746066597,0.3437908562610568,0.012648111229553637,0.0016776942692424185,0.007862439577117913,1.1084583647248964,0.14703019387175412,34.6414731502545,-0.8995937897699038,3983.421572132573,1028.5711175854228,0.0004179862437268057,0.039826386122477776
32,-15.169026196961065,1.1101152368758003,14.925210825304898,67.75794852060886,34.661033630371094,0.0034196816850453615,0.016536712646484375,-0.13754987716674805,0.04369018226861954,0.6564082503318787,270.9894104003906,26.973947525024414,241.8095245361328,1.9078965397131484,0.9011801284224422,0.00035965137483755894,3.214250614636458e-05,0.001385856055705605,0.0004906013440826708,2.69919009171737e-05,0.00364854341120741,3.807614684185209,0.015285570533539943,0.40751103745913053,2.364298134852177,0.009679238790569238,0.39808381719054137,-0.023105481074691042,0.0017292606904693645,0.014176259062162464,-1.2110447602239975,0.09063702640444844,34.65250072288636,-0.9194958338908396,3983.532318167984,1028.5569229391067,0.00012152797559685644,0.03994791409807463
33,-13.336679782863518,1.110163632173312,21.552501637761814,208.71917288313048,34.67758560180664,0.004023466259241104,0.018375396728515625,-0.0935700461268425,0.04432428255677223,0.9478753805160522,275.9635314941406,27.173147201538086,243.3507080078125,2.179227859994453,0.995428952146568,0.00022027552840514828,2.946387193446921e-05,0.0005423031322182298,0.0002464251213842641,2.5441369086882875e-05,0.0009099519567300365,3.507254627846706,0.014388575162619082,0.36580340792988675,2.1701134737488283,0.008744412009655663,0.37417857610509303,-0.0010213601891579276,0.0017554292165101147,2.5370364258286517e-05,-0.04686798512022178,0.08055280720000445,34.66904208183415,-0.9387419838506152,3983.6282702283584,1028.544686463612,6.972453476969852e-05,0.040017638632844334
34,-22.000976200732755,1.2802797202797203,32.53389636625211,103.10656033859811,34.69733810424805,0.0044163125567138195,0.017459869384765625,-0.036899544298648834,0.04884979873895645,0.9066731929779053,281.590576171875,28.330101013183594,243.84600830078125,1.9811178734761967,1.1118410768501643,-0.002115534729213134,3.490724777749972e-05,0.0519858627235922,-0.0015817573742181845,3.140677364563858e-05,0.03648812111528321,2.9922472527709623,0.0172807696817264,0.30922113611438423,2.258393745328463,0.00950850189029054,0.45718290773006665,-0.016138901514063136,0.0020839764583706426,0.005878080772253593,-0.8146361067221499,0.10519194674236942,34.68742136955392,-0.9336496818823017,3983.6213771478015,1028.5457329249039,-0.0004068627010612992,0.039610775931783034
35,-12.821006099383384,1.2125874125874125,31.254065329597157,2002.1717845456833,34.710975646972656,0.0036332036834210157,0.016536712646484375,-0.00903097353875637,0.04269448295235634,0.8710061311721802,289.1170654296875,25.851665496826172,242.75599670410156,2.028008831541307,1.0891779789242764,-6.43035400306669e-05,3.932484388355009e-05,3.7027836580758664e-05,-5.761538323925629e-05,3.6045102030907125e-05,3.538161844084602e-05,2.263286152470105,0.022272437614621204,0.12511340960010064,1.9472727810676767,0.011211917452963347,0.29465033403872454,0.04911338369787111,0.0022331974898112932,0.04373241326690799,2.4217539358812576,0.11011773987759416,34.704881692887696,-0.9620612133836218,3983.8092370805653,1028.521290129111,-1.5171067827523338e-05,0.03959560486395551
36,-18.037557805482642,0.9359733530717986,14.692772213602233,103.96825642613813,34.731590270996094,0.0035546724684536457,0.01929473876953125,0.05498883128166199,0.04590965062379837,0.9406284093856812,283.95556640625,25.878145217895508,245.8839111328125,2.96537110629177,1.430262239148939,-0.0027102209981839107,2.5782013785856972e-05,0.07019774520641558,-0.002177194828065117,2.2999655936828173e-05,0.0576902502267821,3.5734157397074036,0.011828033381239755,0.3840807904547751,2.075252933874185,0.007835761028345453,0.32396884487567734,-0.12950162206844218,0.0021398361186782747,0.20777640273751838,-4.367130366707641,0.07216082041597026,34.72142305183549,-0.9956126775223999,3983.98987220069,1028.4980233407855,-0.0008382895755718713,0.03875731528838364
